feature,new_mean,wear_mean,wear_minus_new,new_std,wear_std,standardized_effect_size,abs_effect_size
Modul7_Unterwerkzeug_fft_energy_high,68.8517076307054,63.51384143110921,-5.337866199596192,17.561282572193846,19.98396625318354,-0.28375297591448667,0.28375297591448667
Modul10_Unterwerkzeug_fft_energy_high,81.2697850702974,75.30890980591855,-5.960875264378856,22.252673646395195,25.270530116815557,-0.2503573872565687,0.2503573872565687
Modul7_Oberwerkzeug_unloading_slope,-0.004688314521345638,-0.004654449613781752,3.386490756388666e-05,9.558565827939356e-05,0.0002018759926375027,0.2144153207732721,0.2144153207732721
Modul10_Unterwerkzeug_loading_slope,0.0022961040695069286,0.0018958206135936389,-0.00040028345591328974,0.005333356461398057,0.004099072320688963,-0.08415643613026152,0.08415643613026152
Modul10_Unterwerkzeug_peak_index,319.31062124248496,332.84569138276555,13.535070140280595,190.93276394613642,189.43495305605998,0.0711677915734348,0.0711677915734348
Modul7_Unterwerkzeug_fft_energy_low,1247.5379274772636,1287.0002938542625,39.46236637699894,597.1206761341988,666.2391754910793,0.062378805807980074,0.062378805807980074
Modul10_Unterwerkzeug_unloading_slope,-0.003920792537158881,-0.004355755350710304,-0.00043496281355142295,0.008094737156556397,0.005738481104793772,-0.061993817734056954,0.061993817734056954
Modul7_Unterwerkzeug_unloading_slope,-0.0031347710814048735,-0.003423801974256752,-0.0002890308928518784,0.00462296237654324,0.0049661125450630025,-0.0602448110265582,0.0602448110265582
Modul10_Unterwerkzeug_fft_energy_low,1470.4386585929672,1518.3681058749912,47.92944728202406,874.1129994658684,963.9501891592761,0.05208994062453584,0.05208994062453584
Modul7_Unterwerkzeug_std,0.10297327800258366,0.10394296135208371,0.0009696833495000529,0.018244770404938455,0.019894945347768082,0.05080147980619126,0.05080147980619126
Modul7_Unterwerkzeug_fft_energy_total,1433.4881790592349,1468.0331536550434,34.544974595808526,646.4376394894971,725.7278501383562,0.05026717952172478,0.05026717952172478
Modul7_Unterwerkzeug_max,0.2481161717618349,0.2559994494026702,0.007883277640835323,0.17414868401761469,0.1678295828844823,0.046096099767375116,0.046096099767375116
Modul10_Unterwerkzeug_fft_energy_total,1712.11223606695,1752.490388343413,40.3781522764632,947.9165673757277,1050.6549995255739,0.04035372804062413,0.04035372804062413
Modul10_Unterwerkzeug_settling_index_after_peak,84.30861723446894,78.687374749499,-5.62124248496994,141.71438487200615,138.02023631405004,-0.04018631919364687,0.04018631919364687
Modul10_Unterwerkzeug_std,0.11176719458098035,0.11275727305604465,0.0009900784750642988,0.02387772775805532,0.025611419999574364,0.03998741357084929,0.03998741357084929
Modul7_Unterwerkzeug_range,0.4832836529687124,0.48802069211846855,0.00473703914975615,0.1517099897251907,0.15839962373756994,0.03054363458564242,0.03054363458564242
Modul10_Unterwerkzeug_rms,0.22981804471810857,0.2264532857126337,-0.0033647590054748655,0.11993630866980952,0.11685030775295592,-0.02841776560250558,0.02841776560250558
Modul10_Unterwerkzeug_abs_area,106.2853124444016,104.68968127529101,-1.5956311691105896,63.02388094819342,61.21429663670143,-0.025683923713882298,0.025683923713882298
Modul7_Unterwerkzeug_loading_slope,0.001867198813976084,0.0017651280479253995,-0.00010207076605068459,0.00439880363274019,0.003632644556296942,-0.025302903844641764,0.025302903844641764
Modul10_Unterwerkzeug_range,0.5465441647183259,0.5512705014368454,0.004726336718519519,0.18690331834774418,0.19156256413542075,0.024974397015917745,0.024974397015917745
