global_sample_id,tool_state,label,source_file,group,local_stroke_id,raw_start,raw_end,raw_length,valid,quality_reason,Modul7_Oberwerkzeug_raw_max,Modul7_Oberwerkzeug_raw_min,Modul7_Oberwerkzeug_raw_mean,Modul7_Oberwerkzeug_raw_std,Modul7_Oberwerkzeug_raw_range,Modul7_Oberwerkzeug_raw_area,Modul7_Unterwerkzeug_raw_max,Modul7_Unterwerkzeug_raw_min,Modul7_Unterwerkzeug_raw_mean,Modul7_Unterwerkzeug_raw_std,Modul7_Unterwerkzeug_raw_range,Modul7_Unterwerkzeug_raw_area,Modul10_Unterwerkzeug_raw_max,Modul10_Unterwerkzeug_raw_min,Modul10_Unterwerkzeug_raw_mean,Modul10_Unterwerkzeug_raw_std,Modul10_Unterwerkzeug_raw_range,Modul10_Unterwerkzeug_raw_area
wear_000035,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,35,200356,206320,5964,True,valid,1.8046722412109375,-0.452667236328125,0.13084795649302716,0.4081136105435289,2.2573394775390625,780.3868179321289,0.137298583984375,-0.307464599609375,-0.10708951022623371,0.09622919429491775,0.44476318359375,-638.5207138061523,0.09893798828125,-0.392486572265625,-0.17582646350105843,0.10169466331298815,0.491424560546875,-1048.4052429199219
wear_000036,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,36,206320,212287,5967,True,valid,1.8120269775390625,-0.50604248046875,0.13820277527786287,0.41956118173254564,2.3180694580078125,824.6657257080078,0.0900115966796875,-0.316741943359375,-0.11338552222772122,0.09451082628629184,0.4067535400390625,-676.3145904541016,0.014892578125,-0.43914794921875,-0.20882487756554277,0.09907497425153274,0.45404052734375,-1245.6882400512695
wear_000037,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,37,212287,217751,5464,True,valid,1.81842041015625,-0.501251220703125,0.1466077522512411,0.4351883859775432,2.319671630859375,801.075325012207,0.3574371337890625,-0.348358154296875,-0.12771117460326256,0.1259655270207048,0.7057952880859375,-697.6931457519531,0.3302764892578125,-0.4854736328125,-0.2457397706686665,0.14252683902850705,0.8157501220703125,-1342.5091857910156
wear_000038,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,38,217751,223218,5467,True,valid,1.8113861083984375,-0.4833526611328125,0.15016273678559283,0.43156497751606104,2.29473876953125,820.9491271972656,0.3647918701171875,-0.161773681640625,0.1605464585721002,0.10277155039137492,0.5265655517578125,877.708854675293,0.3302764892578125,-0.29376220703125,0.11352918090038812,0.11360129511179677,0.6240386962890625,620.752815246582
wear_000039,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,39,223218,228683,5465,True,valid,1.8187408447265625,-0.481109619140625,0.1485764848128002,0.4349957737969729,2.2998504638671875,811.9807357788086,0.3568115234375,-0.353485107421875,-0.12700688116940903,0.11986933001883081,0.710296630859375,-694.1169586181641,0.3427276611328125,-0.488677978515625,-0.24780327883316416,0.1341779163678323,0.8314056396484375,-1354.180419921875
wear_000040,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,40,228683,234149,5466,True,valid,1.8254547119140625,-0.52777099609375,0.15722630567442486,0.44159786515734567,2.3532257080078125,859.4084320068359,0.36798095703125,-0.3090667724609375,0.14952776364864903,0.11090443653298947,0.6770477294921875,817.3246002197266,0.34625244140625,-0.43658447265625,0.10010970192779083,0.12189474632424864,0.7828369140625,547.2922515869141
wear_000041,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,41,234149,239614,5465,True,valid,1.81427001953125,-0.4223175048828125,0.14648003608724555,0.4242398286376052,2.2365875244140625,800.5226821899414,-0.107452392578125,-0.502044677734375,-0.30744666878716836,0.0941156510820961,0.39459228515625,-1679.9797973632812,-0.2330474853515625,-0.6516265869140625,-0.4419240464666843,0.09791504089259488,0.4185791015625,-2414.7618865966797
wear_000042,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,42,239614,245080,5466,True,valid,1.823211669921875,-0.4319000244140625,0.1425914520140842,0.42892696543898057,2.2551116943359375,779.4146423339844,0.0539093017578125,-0.5177154541015625,-0.3101564470857131,0.10042717977118631,0.571624755859375,-1695.219985961914,-0.02886962890625,-0.7053070068359375,-0.4784660381229204,0.10949327678517742,0.6764373779296875,-2615.0832443237305
wear_000043,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,43,245080,250547,5467,True,valid,1.824493408203125,-0.472808837890625,0.15676368558474427,0.4396886592580695,2.29730224609375,857.0365142822266,0.1056671142578125,-0.3180084228515625,-0.1237201624385875,0.0943196626424903,0.423675537109375,-676.3896942138672,0.006591796875,-0.4218902587890625,-0.21418951162586314,0.098350029839416,0.4284820556640625,-1170.8903884887695
wear_000044,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,44,250547,256012,5465,True,valid,1.82513427734375,-0.513702392578125,0.14340191253913398,0.43371471892240443,2.338836669921875,783.7013778686523,0.1424102783203125,-0.2831878662109375,-0.07671440941198965,0.09577528904500705,0.42559814453125,-419.1733856201172,0.0605926513671875,-0.4097442626953125,-0.18120337762858818,0.10147686124961357,0.4703369140625,-990.0930938720703
wear_000045,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,45,256012,261977,5965,True,valid,1.8270416259765625,-0.4312591552734375,0.13034080639668902,0.41361694107606123,2.25830078125,777.4929962158203,0.069244384765625,-0.3806304931640625,-0.17740698764030413,0.09656896277518183,0.4498748779296875,-1058.1380157470703,-0.0084228515625,-0.5177459716796875,-0.30067160926940356,0.10232060536377069,0.5093231201171875,-1793.3015365600586
wear_000046,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,46,261977,267943,5966,True,valid,1.831207275390625,-0.444366455078125,0.13580380835231023,0.4174332880960273,2.27557373046875,810.215446472168,0.146240234375,-0.4151458740234375,-0.10472565771468006,0.10232443935376435,0.5613861083984375,-624.6493988037109,0.0871124267578125,-0.5394744873046875,-0.19954855826490084,0.1093104903716578,0.6265869140625,-1190.25927734375
wear_000047,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,47,267943,273909,5966,True,valid,1.8324737548828125,-0.503173828125,0.14072158102456891,0.4226631182298013,2.3356475830078125,839.554557800293,0.0702056884765625,-0.43463134765625,-0.21833321970659256,0.09777654677991679,0.5048370361328125,-1302.3493576049805,0.015533447265625,-0.5618438720703125,-0.33195650086001666,0.1064021771020816,0.5773773193359375,-1980.1363525390625
wear_000048,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,48,273909,279874,5965,True,valid,1.83056640625,-0.5654754638671875,0.14590012069919583,0.4306032414866492,2.3960418701171875,870.3036651611328,0.08648681640625,-0.350921630859375,-0.11812202089090659,0.09483861173423101,0.437408447265625,-704.3669128417969,0.03662109375,-0.4554443359375,-0.18988040179039187,0.10057881386777918,0.4920654296875,-1132.3246231079102
wear_000049,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,49,279874,285839,5965,True,valid,1.81298828125,-0.507965087890625,0.12695843296098988,0.40753006124124375,2.320953369140625,757.3166580200195,0.059661865234375,-0.357635498046875,-0.16651006860085524,0.09600623819351456,0.41729736328125,-992.9754104614258,-0.0269622802734375,-0.4640655517578125,-0.2570045490376807,0.1001245597724565,0.437103271484375,-1532.6661682128906
wear_000050,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,50,285839,291805,5966,True,valid,1.80914306640625,-0.478240966796875,0.13409488280267873,0.4123820060604958,2.287384033203125,800.0191955566406,0.1152496337890625,-0.3151397705078125,-0.12510589333616404,0.09572738894788743,0.430389404296875,-746.1865997314453,0.082000732421875,-0.4477691650390625,-0.24053444064706514,0.10263886922078212,0.5297698974609375,-1434.7500457763672
wear_000051,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,51,291805,297270,5465,True,valid,1.8113861083984375,-0.51275634765625,0.16105509737927437,0.4409040754344464,2.3241424560546875,880.1758728027344,0.1404876708984375,-0.3077850341796875,-0.10138176781042715,0.09669683975530262,0.448272705078125,-553.8542861938477,0.0992584228515625,-0.3912200927734375,-0.16672101662121883,0.10255238523533934,0.490478515625,-910.8786163330078
wear_000052,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,52,297270,302735,5465,True,valid,1.808197021484375,-0.3104705810546875,0.14656974324804867,0.41767413834502387,2.1186676025390625,801.0135726928711,0.0877685546875,-0.303314208984375,-0.10607112734446478,0.0946975363453011,0.391082763671875,-579.4643783569336,0.032470703125,-0.37939453125,-0.1718255296935756,0.0990878743271764,0.411865234375,-938.7372360229492
wear_000053,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,53,302735,308201,5466,True,valid,1.8107452392578125,-0.2743682861328125,0.14978767392227949,0.418553841611386,2.085113525390625,818.7493515014648,0.126434326171875,-0.3282318115234375,-0.11706073424600656,0.09628297307819594,0.4546661376953125,-639.5824508666992,0.07177734375,-0.42987060546875,-0.2007462508155887,0.10241455831037376,0.50164794921875,-1096.9170303344727
wear_000054,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,54,308201,313667,5466,True,valid,1.8072357177734375,-0.3654327392578125,0.15253368926231475,0.4263557965296767,2.17266845703125,833.759391784668,0.0261077880859375,-0.4288787841796875,-0.2182587931717092,0.0986994300633561,0.454986572265625,-1192.7931900024414,-0.0231170654296875,-0.528289794921875,-0.3012459256297452,0.10419827189028913,0.5051727294921875,-1646.3214263916016
wear_000055,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,55,313667,319133,5466,True,valid,1.80499267578125,-0.3437042236328125,0.14547994971667896,0.4162452700951073,2.1486968994140625,795.2034912109375,0.51593017578125,-0.342926025390625,-0.13115270051422287,0.12858256717776242,0.858856201171875,-716.9797744750977,0.5424346923828125,-0.4301910400390625,-0.1953418730293662,0.13973508043991864,0.972625732421875,-1067.8002243041992
wear_000056,wear,1,24-11-06__17-48-43_SI_abrasiv_verschlissen_500.tdms,File_SI_abrasiv_verschlissen_500,56,319133,324599,5466,True,valid,1.808197021484375,-0.3334808349609375,0.14045906276263206,0.4159805556388422,2.1416778564453125,767.7594833374023,0.5312652587890625,0.1094970703125,0.3132455171877501,0.09420444380956612,0.4217681884765625,1711.8634796142578,0.5382843017578125,0.091583251953125,0.3046371482293596,0.0985310536217484,0.4467010498046875,1664.8222961425781
