x_mean,x_std,x_sum,x_median,y_mean,y_std,y_sum,y_median,z_mean,z_std,z_sum,z_median,Label
96.0088161209068,8055.054697846203,76231.0,482.0,-1010.816120906801,4106.981527537344,-802588.0,-992.0,-6.081863979848866,6594.77680052747,-4829.0,268.0,1
56.212846347607055,8091.660342033085,44633.0,-176.5,-1018.2707808564231,4366.372404324158,-808507.0,-707.0,-27.5264483627204,6917.4911797466075,-21856.0,307.0,1
-15.52015113350126,8220.498127579953,-12323.0,58.0,-1083.8501259445843,4218.917613256555,-860577.0,-976.5,-15.376574307304786,7117.942442049403,-12209.0,380.5,1
-110.04030226700252,8205.954963527587,-87372.0,735.5,-1033.5037783375315,4010.2624897168007,-820602.0,-897.5,14.785894206549118,7028.255458606176,11740.0,629.0,1
-145.57682619647355,8247.77524833538,-115588.0,632.0,-1024.2783375314862,3959.1751436081604,-813277.0,-847.0,-4.040302267002519,7180.336185800964,-3208.0,374.5,1
-190.79471032745593,8165.831388273469,-151491.0,546.0,-990.3639798488665,3722.7294874979557,-786349.0,-839.0,-18.484886649874056,7065.698867568654,-14677.0,423.5,1
-226.97607052896726,7988.696869030183,-180219.0,1065.0,-940.2455919395466,3535.755970276903,-746555.0,-754.0,-8.289672544080604,7016.1201169021215,-6582.0,947.0,1
-287.81360201511336,7516.578698259518,-228524.0,-47.0,-968.9659949622167,2765.9284707442225,-769359.0,-539.0,-17.731738035264485,6924.170458767487,-14079.0,1592.5,1
-217.84760705289673,6889.67227641263,-172971.0,-29.0,-1020.0163727959698,2367.5683266957053,-809893.0,-511.0,-57.455919395466,6723.781321339722,-45620.0,2080.5,1
-94.06926952141058,5561.819447827052,-74691.0,1051.0,-1029.4596977329975,2137.125158009383,-817391.0,-1120.0,-8.288413098236775,5579.737310136597,-6581.0,1144.0,1
-77.9911838790932,3519.7420458435654,-61925.0,288.5,-1010.3136020151134,2115.0358374830084,-802189.0,-835.0,-10.190176322418136,3531.772498896822,-8091.0,-109.0,1
-9.278337531486146,1891.0314490631918,-7367.0,-192.0,-994.8035264483627,1717.9308323398286,-789874.0,-796.0,8.925692695214106,1688.94699602427,7087.0,84.0,1
-9.327455919395465,1393.8995573087936,-7406.0,-71.0,-996.484886649874,1114.7775016035769,-791209.0,-952.0,7.338790931989925,1136.7011915280264,5827.0,39.5,1
-4.07808564231738,706.7828441967216,-3238.0,-17.0,-989.5453400503778,611.3552997082876,-785699.0,-1048.0,2.4269521410579347,683.2260378110833,1927.0,26.0,1
1.3287153652392947,512.5377077817998,1055.0,-32.0,-992.6372795969774,608.8890132339213,-788154.0,-995.0,3.6347607052896724,676.2750752489939,2886.0,-9.0,1
-147.69143576826195,7195.127319355958,-117267.0,79.5,-975.4382871536524,4350.512460642932,-774498.0,-960.0,-2.1738035264483626,4784.676885156743,-1726.0,-34.5,1
-182.24433249370276,8884.321132371426,-144702.0,-238.5,-1074.9005037783375,5403.047179708279,-853471.0,-788.0,7.19521410579345,5768.82023806816,5713.0,182.0,1
-220.1977329974811,8984.545773524938,-174837.0,-565.5,-740.1045340050377,5345.431820696491,-587643.0,-339.0,11.269521410579346,5810.524382697298,8948.0,-306.0,1
-291.1989924433249,9148.868658657524,-231212.0,123.0,-545.8476070528967,5251.7364596689795,-433403.0,-50.0,2.452141057934509,5925.71538491796,1947.0,-616.0,1
-305.73803526448364,9188.036719343487,-242756.0,510.5,-480.6057934508816,5215.354774313903,-381601.0,-17.5,5.986146095717884,6208.426757081248,4753.0,-588.0,1
-412.816120906801,9337.68920294991,-327776.0,618.0,-432.6989924433249,5231.3934673674785,-343563.0,116.5,4.663727959697733,6419.88230861857,3703.0,-960.0,1
-340.9760705289672,9298.19788832346,-270735.0,801.0,-488.9005037783375,5121.21837193444,-388187.0,325.0,-2.1309823677581865,6410.530994563127,-1692.0,-1024.0,1
-342.0352644836272,9103.824471552773,-271576.0,843.0,-497.04911838790935,5126.836475204371,-394657.0,130.0,3.6662468513853903,6392.830779887079,2911.0,-1677.0,1
-209.09319899244332,9117.433744598398,-166020.0,1512.0,-466.69143576826195,5121.2652227961835,-370553.0,129.5,6.4294710327455915,6406.484651279115,5105.0,-1726.0,1
-147.9294710327456,9172.014152253745,-117456.0,1199.0,-425.4937027707808,5164.269032367896,-337842.0,251.0,21.188916876574307,6509.589928416716,16824.0,-1664.0,1
-116.81108312342569,9056.698859357231,-92748.0,1211.5,-414.77833753148616,5037.486003408491,-329334.0,138.0,5.710327455919395,6466.81470201001,4534.0,-1653.0,1
-415.83249370277076,7003.955570259282,-330171.0,-1728.0,-992.27959697733,3467.236782051586,-787870.0,-542.0,7.663727959697733,5744.207561841097,6085.0,73.0,1
-594.904282115869,6628.0284994152735,-472354.0,-1775.0,-1074.0768261964736,3402.9203396086236,-852817.0,-957.0,-1.9748110831234258,5777.094505237182,-1568.0,1088.0,1
-482.1234256926952,6290.105702624922,-382806.0,-1482.0,-1051.0604534005038,3576.9626880920664,-834542.0,-1023.0,-30.002518891687657,5395.0879527258985,-23822.0,1246.0,1
-90.38790931989925,6273.084295682337,-71768.0,-1176.0,-1019.1536523929472,3122.636680378847,-809208.0,-875.0,-5.98992443324937,4993.902357527506,-4756.0,1446.0,1
-46.48110831234257,6168.773320950193,-36906.0,-1499.5,-1017.8576826196473,2932.9885186598217,-808179.0,-959.0,-8.799748110831235,5125.6994634989505,-6987.0,1691.0,1
-90.02896725440806,6199.654308624685,-71483.0,-1721.5,-1006.6070528967255,3541.293286069054,-799246.0,-1139.5,-58.57052896725441,5759.6142094591505,-46505.0,1709.5,1
-78.78337531486146,5980.117461504655,-62554.0,-2005.0,-1025.9596977329975,4026.648833789228,-814612.0,-989.0,-33.06423173803527,6031.648780265594,-26253.0,1492.0,1
-145.98614609571788,5962.118242539069,-115913.0,-2017.0,-960.9899244332494,3992.1561099174614,-763026.0,-989.0,-32.82367758186398,5752.55748259511,-26062.0,1390.0,1
-407.8992443324937,5792.160004105948,-323872.0,-1982.0,-929.7657430730478,3993.780722202249,-738234.0,-1177.0,-30.758186397984886,5787.52924058991,-24422.0,1194.5,1
-413.2103274559194,5890.389688579459,-328089.0,-1908.5,-954.5528967254409,3950.3550593495447,-757915.0,-1031.0,-23.25566750629723,5805.1579501425085,-18465.0,1317.0,1
-506.3463476070529,5871.915664709499,-402039.0,-2482.0,-967.1561712846348,3963.8597301679793,-767922.0,-989.0,-29.788413098236777,5903.922940625507,-23652.0,1149.5,1
-648.9130982367758,5810.425092158151,-515237.0,-2673.0,-1081.1561712846349,3728.373673665932,-858438.0,-695.5,-21.552896725440807,6190.519887255011,-17113.0,792.0,1
-726.1901763224181,5391.787502721722,-576595.0,-3331.0,-1118.8261964735516,3151.8404951638568,-888348.0,-567.0,13.255667506297229,6084.493726313464,10525.0,-65.0,1
-439.5113350125945,5541.864881171103,-348972.0,-2693.0,-1033.3476070528968,2613.4564860766204,-820478.0,-1038.0,15.167506297229219,5954.927957750164,12043.0,-188.0,1
